,circuito,urna,pp1,pp2,pp3,pp4,nv
1676,0048,30,61,53,62,66,58
1677,0048,31,63,64,66,50,57
1678,0048,32,76,48,59,54,63
1679,0048,33,79,46,69,59,47
1680,0048,34,54,38,46,53,45
1681,0049,0,83,66,48,47,56
1682,0049,1,77,76,43,37,67
1683,0049,2,60,83,49,48,60
1684,0049,3,84,81,46,31,58
1685,0049,4,65,73,46,47,69
1686,0049,5,64,71,48,39,78
1687,0049,6,72,71,48,45,64
1688,0049,7,76,80,35,44,65
1689,0049,8,74,83,37,47,59
1690,0049,9,80,84,34,45,57
1691,0049,10,62,67,54,61,56
1692,0049,11,73,72,56,37,62
1693,0049,12,66,62,50,61,61
1694,0049,13,71,85,41,47,56
1695,0049,14,93,73,39,44,51
1696,0049,15,65,78,49,46,62
1697,0049,16,79,67,50,44,60
1698,0049,17,84,71,33,55,57
1699,0049,18,78,80,41,50,51
1700,0049,19,76,54,50,47,73
1701,0049,20,64,72,58,42,64
1702,0049,21,79,77,39,44,61
1703,0049,22,74,74,52,45,55
1704,0049,23,79,70,50,46,55
1705,0049,24,78,61,48,50,63
1706,0049,25,85,69,40,58,48
1707,0049,26,75,64,37,53,71
1708,0049,27,73,72,51,47,57
1709,0049,28,83,57,55,45,60
1710,0049,29,73,75,55,44,53
1711,0049,30,86,66,48,39,61
1712,0049,31,64,79,49,41,67
1713,0049,32,90,71,34,46,59
1714,0049,33,82,73,39,51,55
1715,0049,34,1,3,5,1,0
1716,0050,0,70,83,48,48,51
1717,0050,1,70,70,51,50,59
1718,0050,2,70,67,38,53,72
1719,0050,3,69,63,46,46,76
1720,0050,4,69,59,59,45,68
1721,0050,5,68,66,50,50,66
1722,0050,6,59,70,53,58,60
1723,0050,7,72,67,45,44,72
1724,0050,8,83,70,49,39,59
1725,0050,9,58,80,51,50,61
1726,0050,10,72,68,49,59,52
1727,0050,11,69,59,73,33,66
1728,0050,12,72,62,44,45,77
1729,0050,13,66,57,47,55,75
1730,0050,14,61,80,52,48,59
1731,0050,15,52,67,63,48,70
1732,0050,16,61,68,48,63,60
1733,0050,17,54,80,57,59,50
1734,0050,18,59,82,43,60,56
1735,0050,19,69,72,57,42,60
1736,0050,20,69,64,55,53,59
1737,0050,21,77,68,44,45,66
1738,0050,22,57,72,45,55,71
1739,0050,23,75,85,50,38,52
1740,0050,24,67,68,44,59,62
1741,0050,25,75,64,48,50,63
1742,0050,26,75,77,35,52,61
1743,0050,27,73,77,45,41,64
1744,0050,28,71,79,60,43,47
1745,0050,29,65,76,51,49,59
1746,0050,30,73,67,59,48,53
1747,0050,31,63,83,50,52,52
1748,0050,32,74,85,45,45,51
1749,0050,33,61,79,51,44,65
1750,0050,34,71,64,50,59,56
1751,0050,35,64,85,47,54,50
1752,0050,36,71,72,44,57,56
1753,0050,37,61,76,46,62,55
1754,0050,38,70,64,57,51,58
1755,0050,39,74,74,58,43,51
1756,0050,40,68,60,60,58,54
1757,0050,41,25,29,16,24,22
1758,0051,0,91,81,34,47,47
1759,0051,1,69,70,49,38,74
1760,0051,2,77,90,43,30,60
1761,0051,3,89,68,46,37,60
1762,0051,4,80,71,38,47,64
1763,0051,5,76,77,51,37,59
1764,0051,6,80,80,34,38,68
1765,0051,7,75,72,52,42,59
1766,0051,8,76,84,39,43,58
1767,0051,9,85,69,39,43,64
1768,0051,10,88,80,41,33,58
1769,0051,11,64,87,41,42,66
1770,0051,12,72,77,44,42,65
1771,0051,13,77,87,31,48,57
1772,0051,14,73,77,43,41,66
1773,0051,15,98,74,42,31,55
1774,0051,16,83,85,42,37,53
1775,0051,17,63,78,42,42,75
1776,0051,18,80,77,38,46,59
1777,0051,19,65,96,36,43,60
1778,0051,20,79,89,31,39,62
1779,0051,21,71,85,43,42,59
1780,0051,22,76,84,46,35,59
1781,0051,23,59,84,47,46,64
1782,0051,24,86,79,35,36,64
1783,0051,25,88,81,39,38,54
1784,0051,26,77,80,44,47,52
1785,0051,27,61,95,36,41,62
1786,0052,0,91,67,47,42,53
1787,0052,1,80,68,42,52,58
1788,0052,2,69,89,32,49,61
1789,0052,3,75,63,58,50,54
1790,0052,4,67,74,49,54,56
1791,0052,5,68,73,46,46,67
1792,0052,6,75,88,44,42,51
1793,0052,7,74,79,45,45,57
1794,0052,8,70,67,50,57,56
1795,0052,9,88,82,33,36,61
1796,0052,10,78,68,51,45,58
1797,0052,11,86,74,39,52,49
1798,0052,12,72,76,50,45,57
1799,0052,13,69,65,52,57,57
1800,0052,14,78,76,42,51,53
1801,0052,15,82,60,47,55,56
1802,0052,16,71,67,43,64,55
1803,0052,17,84,65,49,43,59
1804,0052,18,62,73,52,42,71
1805,0052,19,71,63,62,52,52
1806,0052,20,71,68,47,54,60
1807,0052,21,77,69,42,44,68
1808,0052,22,74,66,53,43,64
1809,0052,23,84,63,40,50,63
1810,0052,24,69,79,57,43,52
1811,0052,25,64,68,50,60,58
1812,0052,26,82,80,40,44,54
1813,0052,27,86,72,48,36,58
1814,0052,28,77,64,46,50,63
1815,0052,29,65,80,42,55,58
1816,0052,30,41,30,33,24,32
1817,0053,0,72,79,40,51,58
1818,0053,1,78,75,50,36,61
1819,0053,2,71,81,43,47,58
1820,0053,3,86,67,42,44,61
1821,0053,4,79,73,48,44,56
1822,0053,5,72,99,33,33,63
1823,0053,6,71,84,43,42,60
1824,0053,7,70,78,45,39,68
1825,0053,8,75,89,40,34,62
1826,0053,9,89,86,34,36,55
1827,0053,10,68,79,42,56,55
1828,0053,11,79,69,37,53,62
1829,0053,12,63,58,51,46,82
1830,0053,13,68,75,50,45,62
1831,0053,14,69,75,45,42,69
1832,0053,15,66,79,50,51,54
1833,0053,16,67,74,49,38,72
1834,0053,17,73,71,40,44,72
1835,0053,18,73,78,51,37,61
1836,0053,19,76,91,45,35,53
1837,0053,20,70,67,47,48,68
1838,0053,21,84,68,38,46,64
1839,0053,22,60,86,42,49,63
1840,0053,23,67,75,49,47,62
1841,0053,24,84,86,38,39,53
1842,0053,25,90,59,46,57,48
1843,0053,26,75,58,53,51,63
1844,0053,27,72,75,54,38,61
1845,0053,28,79,70,45,36,70
1846,0053,29,76,91,39,38,56
1847,0053,30,84,73,49,42,52
1848,0053,31,76,68,45,41,70
1849,0053,32,68,90,42,42,58
1850,0053,33,79,65,42,48,66
1851,0053,34,77,76,44,37,66
1852,0053,35,68,88,45,43,56
1853,0053,36,81,75,29,49,66
1854,0053,37,73,76,43,43,65
1855,0053,38,51,56,42,31,35
1856,0054,0,80,97,23,30,70
1857,0054,1,78,119,26,27,50
1858,0054,2,88,115,17,22,58
1859,0054,3,84,114,24,24,54
1860,0054,4,76,109,35,32,48
1861,0054,5,75,100,28,30,67
1862,0054,6,89,94,25,27,65
1863,0054,7,78,107,23,33,59
1864,0054,8,79,96,25,30,70
1865,0054,9,85,77,44,31,63
1866,0054,10,97,93,25,37,48
1867,0054,11,87,101,19,31,62
1868,0054,12,91,93,30,28,58
1869,0054,13,83,99,28,25,65
1870,0054,14,72,97,33,33,65
1871,0054,15,79,101,28,34,58
1872,0054,16,78,117,26,20,59
1873,0054,17,77,114,28,27,54
1874,0054,18,93,101,20,34,52
1875,0054,19,71,101,32,26,70
1876,0054,20,68,115,31,31,55
1877,0054,21,76,90,27,36,71
1878,0054,22,96,99,24,30,51
1879,0054,23,75,111,34,25,55
1880,0054,24,79,104,16,33,68
1881,0054,25,79,105,33,22,61
1882,0054,26,82,109,16,35,58
1883,0054,27,76,94,33,31,66
1884,0054,28,86,103,21,27,63
1885,0054,29,78,111,26,28,57
1886,0054,30,76,100,24,32,68
1887,0054,31,84,93,27,35,61
1888,0054,32,90,99,34,28,49
1889,0054,33,71,104,21,39,65
1890,0054,34,77,98,29,35,61
1891,0054,35,89,98,29,27,57
1892,0054,36,77,120,27,25,51
1893,0054,37,73,110,32,28,57
1894,0054,38,71,115,28,27,59
1895,0054,39,90,110,33,17,50
1896,0054,40,73,110,33,31,53
1897,0054,41,81,92,30,27,70
1898,0054,42,12,28,9,6,18
1899,0055,0,57,54,48,72,69
1900,0055,1,66,73,50,61,50
1901,0055,2,71,59,59,70,41
1902,0055,3,62,65,66,47,60
1903,0055,4,72,44,67,62,55
1904,0055,5,45,64,66,58,67
1905,0055,6,79,43,49,56,73
1906,0055,7,75,65,50,39,71
1907,0055,8,63,73,58,54,52
1908,0055,9,62,56,69,56,57
1909,0055,10,72,57,65,57,49
1910,0055,11,72,50,56,63,59
1911,0055,12,75,62,54,52,57
1912,0055,13,60,60,62,50,68
1913,0055,14,63,57,54,66,60
1914,0055,15,73,55,54,62,56
1915,0055,16,75,56,52,66,51
1916,0055,17,70,70,46,64,50
1917,0055,18,80,44,62,46,68
1918,0055,19,76,63,49,58,54
1919,0055,20,57,58,65,53,67
1920,0055,21,59,47,59,65,70
1921,0055,22,61,58,58,63,60
1922,0055,23,61,63,47,48,81
1923,0055,24,59,63,56,63,59
1924,0055,25,66,54,47,62,71
1925,0055,26,50,35,46,36,38
1926,0056,0,73,57,56,51,63
1927,0056,1,62,57,63,52,66
1928,0056,2,78,51,55,64,52
1929,0056,3,57,54,49,71,69
1930,0056,4,81,62,57,45,55
1931,0056,5,68,62,60,57,53
1932,0056,6,71,56,56,56,61
1933,0056,7,64,56,60,52,68
1934,0056,8,64,55,61,58,62
1935,0056,9,79,61,48,50,62
1936,0056,10,73,51,56,59,61
1937,0056,11,65,54,56,62,63
1938,0056,12,63,62,61,44,70
1939,0056,13,80,61,49,53,57
1940,0056,14,69,64,54,67,46
1941,0056,15,64,71,55,63,47
1942,0056,16,74,76,54,43,53
1943,0056,17,69,48,60,61,62
1944,0056,18,69,57,47,68,59
1945,0056,19,68,64,59,59,50
1946,0056,20,72,66,52,59,51
1947,0056,21,81,64,52,49,54
1948,0056,22,69,64,60,51,56
1949,0056,23,71,61,47,56,65
1950,0056,24,69,60,55,53,63
1951,0056,25,75,50,67,40,68
1952,0056,26,62,58,41,31,43
1953,0057,0,71,61,43,49,76
1954,0057,1,73,76,54,36,61
1955,0057,2,73,68,41,61,57
1956,0057,3,76,75,55,42,52
1957,0057,4,49,75,55,57,64
1958,0057,5,72,79,42,50,57
1959,0057,6,63,66,53,56,62
1960,0057,7,69,77,50,42,62
1961,0057,8,52,75,51,65,57
1962,0057,9,74,68,46,59,53
1963,0057,10,77,71,50,44,58
1964,0057,11,78,67,53,47,55
1965,0057,12,75,79,45,42,59
1966,0057,13,65,84,46,49,56
1967,0057,14,65,76,39,58,62
1968,0057,15,75,62,41,52,70
1969,0057,16,56,78,37,55,74
1970,0057,17,57,75,55,59,54
1971,0057,18,70,70,36,52,72
1972,0057,19,71,74,52,41,62
1973,0057,20,69,78,49,46,58
1974,0057,21,80,78,44,40,58
1975,0057,22,78,64,49,54,55
1976,0057,23,58,69,60,52,61
1977,0057,24,80,59,58,49,54
1978,0057,25,74,62,53,53,58
1979,0057,26,60,75,52,57,56
1980,0057,27,76,76,45,51,52
1981,0057,28,73,82,56,38,51
1982,0057,29,72,54,54,51,69
1983,0057,30,75,67,57,46,55
1984,0057,31,79,65,49,40,67
1985,0057,32,59,69,52,53,67
1986,0057,33,52,81,42,65,60
1987,0057,34,72,70,39,58,61
1988,0057,35,68,73,54,39,66
1989,0057,36,68,66,46,52,68
1990,0057,37,62,81,46,55,56
1991,0057,38,67,85,39,49,60
1992,0057,39,88,62,39,41,70
1993,0057,40,83,72,49,43,53
1994,0057,41,63,86,45,55,51
1995,0057,42,79,67,41,59,54
1996,0057,43,63,82,54,38,63
1997,0057,44,73,69,44,45,69
1998,0057,45,66,66,50,55,63
1999,0057,46,70,67,50,48,65
2000,0057,47,87,68,46,29,70
2001,0057,48,68,52,69,48,63
2002,0057,49,71,74,51,46,58
2003,0057,50,78,64,47,50,61
2004,0057,51,74,61,53,49,63
2005,0057,52,70,76,41,64,49
2006,0057,53,74,79,38,56,53
2007,0057,54,44,40,43,31,36
2008,0058,0,60,52,59,59,70
2009,0058,1,51,75,56,65,53
2010,0058,2,59,62,60,66,53
2011,0058,3,64,69,62,54,51
2012,0058,4,55,53,52,62,78
2013,0058,5,55,55,74,55,61
2014,0058,6,57,64,54,67,58
2015,0058,7,64,51,76,43,66
2016,0058,8,61,39,58,68,74
2017,0058,9,60,51,63,54,72
2018,0058,10,56,65,55,75,49
2019,0058,11,47,62,65,54,72
2020,0058,12,69,63,45,70,53
2021,0058,13,51,75,55,61,58
2022,0058,14,55,59,67,60,59
2023,0058,15,56,61,56,68,59
2024,0058,16,62,67,59,64,48
2025,0058,17,57,63,72,54,54
2026,0058,18,53,57,60,57,73
2027,0058,19,74,58,50,60,58
2028,0058,20,63,51,62,63,61
2029,0058,21,64,64,59,60,53
2030,0058,22,55,66,56,58,65
2031,0058,23,63,52,64,64,57
2032,0058,24,56,72,52,64,56
2033,0058,25,68,54,69,53,56
2034,0058,26,59,61,51,58,71
2035,0058,27,74,49,66,61,50
2036,0058,28,64,70,39,64,63
2037,0058,29,56,66,59,59,60
2038,0058,30,59,78,50,61,52
2039,0058,31,67,53,56,53,71
2040,0058,32,65,60,52,62,61
2041,0058,33,64,67,61,53,55
2042,0058,34,68,60,60,51,61
2043,0058,35,68,55,55,64,58
2044,0058,36,53,57,57,74,59
2045,0058,37,57,70,57,56,60
2046,0058,38,61,67,69,53,50
2047,0058,39,58,59,66,63,54
2048,0058,40,70,56,56,70,48
2049,0058,41,50,52,61,71,66
2050,0058,42,61,70,55,55,59
2051,0058,43,56,70,58,56,60
2052,0058,44,73,60,44,62,61
2053,0058,45,54,74,60,53,59
2054,0058,46,5,2,3,1,3
2055,0059,0,64,60,54,63,59
2056,0059,1,63,53,60,73,51
2057,0059,2,56,61,62,56,65
2058,0059,3,54,53,49,76,68
2059,0059,4,76,80,43,49,52
2060,0059,5,67,51,53,70,59
2061,0059,6,66,56,58,59,61
2062,0059,7,67,49,69,68,47
2063,0059,8,60,60,43,73,64
2064,0059,9,66,54,66,44,70
2065,0059,10,56,67,65,58,54
2066,0059,11,54,60,62,66,58
2067,0059,12,53,46,67,76,58
2068,0059,13,75,55,52,53,65
2069,0059,14,67,60,55,59,59
2070,0059,15,62,60,65,55,58
2071,0059,16,65,51,65,60,59
2072,0059,17,53,63,45,72,67
2073,0059,18,46,51,72,65,66
2074,0059,19,71,63,58,47,61
2075,0059,20,46,68,53,64,69
2076,0059,21,66,53,52,61,68
2077,0059,22,58,57,64,63,58
2078,0059,23,63,61,58,58,60
2079,0059,24,56,66,51,65,62
2080,0059,25,56,56,71,63,54
2081,0059,26,60,62,52,63,63
2082,0059,27,58,54,72,44,72
2083,0059,28,60,58,63,68,51
2084,0059,29,69,51,44,59,77
2085,0059,30,62,59,72,53,54
2086,0059,31,45,57,64,69,65
2087,0059,32,63,59,49,46,55
2088,0060,0,51,65,41,81,62
2089,0060,1,55,53,72,58,62
2090,0060,2,49,61,64,63,63
2091,0060,3,63,72,40,57,68
2092,0060,4,47,76,49,48,80
2093,0060,5,57,61,61,53,68
2094,0060,6,52,59,60,62,67
2095,0060,7,54,67,46,72,61
2096,0060,8,66,55,56,66,57
2097,0060,9,68,51,53,61,67
2098,0060,10,61,59,61,60,59
2099,0060,11,62,68,60,56,54
2100,0060,12,53,60,63,60,64
2101,0060,13,60,75,58,53,54
2102,0060,14,59,57,56,59,69
2103,0060,15,67,64,63,59,47
2104,0060,16,48,57,47,68,80
2105,0060,17,54,56,46,69,75
2106,0060,18,59,65,45,64,67
2107,0060,19,56,63,56,65,60
2108,0060,20,63,63,56,62,56
2109,0060,21,62,62,53,66,57
2110,0060,22,65,75,49,48,63
2111,0060,23,52,66,49,81,52
2112,0060,24,56,62,56,74,52
2113,0060,25,61,76,46,63,54
2114,0060,26,63,64,46,69,58
2115,0060,27,57,69,51,66,57
2116,0060,28,73,51,53,63,60
2117,0060,29,66,61,63,58,52
2118,0060,30,55,62,51,75,57
2119,0060,31,57,65,54,75,49
2120,0060,32,55,77,38,69,61
2121,0060,33,79,53,52,60,56
2122,0060,34,59,64,51,55,71
2123,0060,35,54,69,59,57,61
2124,0060,36,69,76,48,52,55
2125,0060,37,56,76,63,59,46
2126,0060,38,56,64,60,58,62
2127,0060,39,41,73,55,70,61
2128,0060,40,65,73,45,61,56
2129,0060,41,62,65,43,72,58
2130,0060,42,60,73,57,55,55
2131,0060,43,59,58,64,62,57
2132,0060,44,65,60,44,67,64
2133,0060,45,52,71,56,62,59
2134,0060,46,24,31,16,35,33
2135,0061,0,86,56,51,49,58
2136,0061,1,65,65,55,55,60
2137,0061,2,63,75,46,66,50
2138,0061,3,64,61,50,63,62
2139,0061,4,59,65,57,59,60
2140,0061,5,50,73,49,63,65
2141,0061,6,75,53,54,60,58
2142,0061,7,53,70,59,54,64
2143,0061,8,73,62,58,55,52
2144,0061,9,68,77,45,44,66
2145,0061,10,80,54,47,63,56
2146,0061,11,73,52,59,55,61
2147,0061,12,66,66,61,53,54
2148,0061,13,64,71,59,53,53
2149,0061,14,64,68,50,63,55
2150,0061,15,69,62,56,51,62
2151,0061,16,68,79,57,46,50
2152,0061,17,55,63,52,76,54
2153,0061,18,73,73,55,47,52
2154,0061,19,73,58,54,58,57
2155,0061,20,59,48,67,59,67
2156,0061,21,56,63,50,66,65
2157,0061,22,71,62,50,52,65
2158,0061,23,66,69,56,60,49
2159,0061,24,71,50,61,52,66
2160,0061,25,76,54,59,56,55
2161,0061,26,71,60,57,53,59
2162,0061,27,72,65,48,43,72
2163,0061,28,63,64,56,43,74
2164,0061,29,64,69,34,64,69
2165,0061,30,67,67,51,50,65
2166,0061,31,61,71,52,55,61
2167,0061,32,64,57,56,56,67
2168,0061,33,67,64,53,56,60
2169,0061,34,71,53,51,62,63
2170,0061,35,72,62,57,58,51
2171,0061,36,64,63,61,60,52
2172,0061,37,69,49,60,72,50
2173,0061,38,76,55,55,55,59
2174,0061,39,68,57,55,66,54
2175,0061,40,54,63,60,61,62
2176,0061,41,73,55,59,55,58
2177,0061,42,70,60,49,62,59
2178,0061,43,72,64,51,47,66
2179,0061,44,33,36,23,30,39
2180,0062,0,55,64,53,64,64
2181,0062,1,68,51,71,54,56
2182,0062,2,70,69,53,53,55
2183,0062,3,72,62,54,56,56
2184,0062,4,51,59,69,52,69
2185,0062,5,68,68,55,60,49
2186,0062,6,68,53,62,57,60
2187,0062,7,70,57,40,62,71
2188,0062,8,51,67,49,61,72
2189,0062,9,63,66,52,58,61
2190,0062,10,58,64,57,61,60
2191,0062,11,67,80,45,52,56
2192,0062,12,67,42,54,64,73
2193,0062,13,49,55,52,57,87
2194,0062,14,68,73,43,51,65
2195,0062,15,62,71,43,61,63
2196,0062,16,56,67,56,66,55
2197,0062,17,67,60,46,64,63
2198,0062,18,70,51,56,64,59
2199,0062,19,58,64,62,69,47
2200,0062,20,67,56,54,62,61
2201,0062,21,73,55,57,52,63
2202,0062,22,72,62,48,58,60
2203,0062,23,58,69,61,51,61
2204,0062,24,58,62,57,53,70
2205,0062,25,57,65,44,65,69
2206,0062,26,58,61,54,63,64
2207,0062,27,71,65,44,72,48
2208,0062,28,58,68,64,43,67
2209,0062,29,57,66,53,65,59
2210,0062,30,19,17,12,20,19
2211,0063,0,65,52,52,69,62
2212,0063,1,62,54,60,55,69
2213,0063,2,57,54,72,63,54
2214,0063,3,65,49,66,65,55
2215,0063,4,72,63,52,49,64
2216,0063,5,64,73,52,58,53
2217,0063,6,61,74,54,65,46
2218,0063,7,53,66,55,64,62
2219,0063,8,62,56,60,68,54
2220,0063,9,74,66,63,43,54
2221,0063,10,64,58,47,59,72
2222,0063,11,55,66,68,59,52
2223,0063,12,66,64,59,48,63
2224,0063,13,67,62,62,56,53
2225,0063,14,69,67,49,58,57
2226,0063,15,63,60,53,69,55
2227,0063,16,56,73,62,55,54
2228,0063,17,67,60,52,57,64
2229,0063,18,66,65,58,54,57
2230,0063,19,65,59,61,65,50
2231,0063,20,58,59,56,72,55
2232,0063,21,71,63,54,60,52
2233,0063,22,66,57,52,63,62
2234,0063,23,70,61,58,53,58
2235,0063,24,55,60,61,69,55
2236,0063,25,70,59,48,50,73
2237,0063,26,57,64,56,56,67
2238,0063,27,51,75,62,66,46
2239,0063,28,55,67,50,76,52
2240,0063,29,64,75,56,50,55
2241,0063,30,69,47,49,77,58
2242,0063,31,67,59,63,63,48
2243,0063,32,63,72,47,57,61
2244,0063,33,70,55,51,66,58
2245,0063,34,70,59,60,64,47
2246,0063,35,66,71,56,57,50
2247,0063,36,66,58,48,52,76
2248,0063,37,70,66,44,48,72
2249,0063,38,65,70,43,62,60
2250,0063,39,74,50,59,54,63
2251,0063,40,63,54,44,73,66
2252,0063,41,62,63,60,50,65
2253,0063,42,61,60,54,64,61
2254,0063,43,65,51,66,56,62
2255,0063,44,67,54,59,50,70
2256,0063,45,63,60,50,66,61
2257,0063,46,75,58,56,56,55
2258,0063,47,68,65,41,61,65
2259,0063,48,58,64,61,61,56
2260,0063,49,57,59,59,65,60
2261,0063,50,65,57,67,56,55
2262,0063,51,66,67,53,59,55
2263,0063,52,65,61,53,50,71
2264,0063,53,56,78,48,53,65
2265,0063,54,70,61,47,60,62
2266,0063,55,60,64,61,65,50
2267,0063,56,63,54,49,65,69
2268,0063,57,77,50,69,53,51
2269,0063,58,64,58,61,55,62
2270,0063,59,74,47,44,73,62
2271,0063,60,74,54,48,54,70
2272,0063,61,63,56,61,62,58
2273,0063,62,69,51,70,55,55
2274,0063,63,68,70,60,54,48
2275,0063,64,5,9,7,4,6
2276,0064,0,51,60,61,68,60
2277,0064,1,74,45,67,52,62
2278,0064,2,52,60,69,66,53
2279,0064,3,61,64,55,61,59
2280,0064,4,70,61,55,59,55
2281,0064,5,61,57,60,65,57
2282,0064,6,64,51,63,64,58
2283,0064,7,61,56,55,67,61
2284,0064,8,71,53,62,52,62
2285,0064,9,62,63,55,68,52
2286,0064,10,66,53,58,61,62
2287,0064,11,54,51,58,69,68
2288,0064,12,59,57,68,60,56
2289,0064,13,68,53,65,65,49
2290,0064,14,63,56,69,53,59
2291,0064,15,65,55,56,63,61
2292,0064,16,61,48,58,67,66
2293,0064,17,67,69,55,55,54
2294,0064,18,60,44,78,47,71
2295,0064,19,68,53,59,55,65
2296,0064,20,59,60,60,55,66
2297,0064,21,55,62,64,61,58
2298,0064,22,79,51,45,57,68
2299,0064,23,59,54,62,57,68
2300,0064,24,59,39,74,63,65
2301,0064,25,55,57,59,63,66
2302,0064,26,64,53,70,50,63
2303,0064,27,64,68,62,50,56
2304,0064,28,63,52,63,57,65
2305,0064,29,65,45,62,63,65
2306,0064,30,73,62,65,48,52
2307,0064,31,58,61,63,56,62
2308,0064,32,74,53,53,69,51
2309,0064,33,72,47,60,57,64
2310,0064,34,69,55,71,54,51
2311,0064,35,58,57,54,70,61
2312,0064,36,66,61,55,70,48
2313,0064,37,58,57,58,70,57
2314,0064,38,67,54,61,54,64
2315,0064,39,66,56,60,68,50
2316,0064,40,57,58,58,65,62
2317,0064,41,54,64,50,51,81
2318,0064,42,57,53,54,72,64
2319,0064,43,60,60,61,47,72
2320,0064,44,55,51,70,61,63
2321,0064,45,61,57,71,46,65
2322,0064,46,69,39,67,56,69
2323,0064,47,74,51,62,57,56
2324,0064,48,62,56,55,64,63
2325,0064,49,57,56,71,67,49
2326,0064,50,56,56,75,60,53
2327,0064,51,69,47,61,62,61
2328,0064,52,65,60,54,56,65
2329,0064,53,58,48,71,58,65
2330,0064,54,69,62,59,34,76
2331,0064,55,64,63,58,59,56
2332,0064,56,69,56,63,48,64
2333,0064,57,58,55,61,61,65
2334,0064,58,53,71,56,64,56
2335,0064,59,57,51,71,62,59
2336,0064,60,52,60,71,59,58
2337,0064,61,62,47,67,60,64
2338,0064,62,55,63,55,60,67
2339,0064,63,68,51,57,75,49
2340,0064,64,63,56,68,60,53
2341,0064,65,52,57,65,67,59
2342,0064,66,52,62,62,68,56
2343,0064,67,78,48,57,60,57
2344,0064,68,45,31,38,50,33
2345,0065,0,73,53,48,65,61
2346,0065,1,63,55,68,58,56
2347,0065,2,69,58,56,57,60
2348,0065,3,60,63,52,60,65
2349,0065,4,55,58,56,60,71
2350,0065,5,67,49,45,69,70
2351,0065,6,56,55,60,69,60
2352,0065,7,60,68,55,60,57
2353,0065,8,62,58,48,57,75
2354,0065,9,68,50,63,59,60
2355,0065,10,77,55,58,57,53
2356,0065,11,66,54,60,60,60
2357,0065,12,62,58,56,65,59
2358,0065,13,67,44,73,59,57
2359,0065,14,73,56,51,65,55
2360,0065,15,62,65,43,64,66
2361,0065,16,69,62,49,59,61
2362,0065,17,66,53,53,68,60
2363,0065,18,47,78,50,59,66
2364,0065,19,59,69,59,52,61
2365,0065,20,60,58,64,57,61
2366,0065,21,68,60,68,51,53
2367,0065,22,70,51,62,59,58
2368,0065,23,71,62,52,48,67
2369,0065,24,66,51,47,57,79
2370,0065,25,62,83,58,47,50
2371,0065,26,67,64,55,59,55
2372,0065,27,61,62,58,55,64
2373,0065,28,61,61,56,58,64
2374,0065,29,55,62,62,60,61
2375,0065,30,68,54,69,61,48
2376,0065,31,58,64,65,58,55
2377,0065,32,63,58,57,53,69
2378,0065,33,59,58,68,52,63
2379,0065,34,65,61,62,56,56
2380,0065,35,56,50,56,57,81
2381,0065,36,68,58,49,70,55
2382,0065,37,65,53,62,53,67
2383,0065,38,63,61,61,63,52
2384,0065,39,55,61,66,58,60
2385,0065,40,70,59,48,54,69
2386,0065,41,64,61,64,56,55
2387,0065,42,67,51,74,55,53
2388,0065,43,50,61,57,61,71
2389,0065,44,77,52,64,54,53
2390,0065,45,34,39,39,31,37
2391,0066,0,58,57,54,76,55
2392,0066,1,62,62,63,57,56
2393,0066,2,70,57,58,70,45
2394,0066,3,80,51,60,46,63
2395,0066,4,71,64,48,60,57
2396,0066,5,48,65,58,64,65
2397,0066,6,66,61,63,53,57
2398,0066,7,66,64,59,56,55
2399,0066,8,72,59,60,61,48
2400,0066,9,74,39,59,66,62
2401,0066,10,75,61,51,56,57
2402,0066,11,60,57,60,50,73
2403,0066,12,68,50,52,64,66
2404,0066,13,67,45,57,67,64
2405,0066,14,64,52,56,62,66
2406,0066,15,70,58,55,53,64
2407,0066,16,68,57,57,68,50
2408,0066,17,69,57,51,52,71
2409,0066,18,59,64,52,68,57
2410,0066,19,66,55,62,67,50
2411,0066,20,55,68,64,56,57
2412,0066,21,63,55,44,81,57
2413,0066,22,72,48,51,61,68
2414,0066,23,63,61,62,54,60
2415,0066,24,63,54,63,52,68
2416,0066,25,61,51,63,65,60
2417,0066,26,54,59,54,58,75
2418,0066,27,64,59,49,63,65
2419,0066,28,65,52,70,58,55
2420,0066,29,66,47,57,59,71
2421,0066,30,59,55,61,55,70
2422,0066,31,65,53,60,68,54
2423,0066,32,69,61,53,53,64
2424,0066,33,66,59,57,66,52
2425,0066,34,67,63,51,58,61
2426,0066,35,73,58,55,54,60
2427,0066,36,71,49,47,66,67
2428,0066,37,71,54,57,57,61
2429,0066,38,67,43,71,71,48
2430,0066,39,64,59,63,51,63
2431,0066,40,7,6,3,4,5
2432,0067,0,68,51,64,57,60
2433,0067,1,64,66,59,58,53
2434,0067,2,77,61,51,46,65
2435,0067,3,59,51,59,61,70
2436,0067,4,66,49,74,64,47
2437,0067,5,79,58,55,45,63
2438,0067,6,60,47,62,59,72
2439,0067,7,67,52,61,53,67
2440,0067,8,65,62,54,62,57
2441,0067,9,83,49,49,55,64
2442,0067,10,68,54,60,49,69
2443,0067,11,45,64,71,59,61
2444,0067,12,63,64,59,65,49
2445,0067,13,67,59,52,59,63
2446,0067,14,62,57,65,51,65
2447,0067,15,61,67,65,51,56
2448,0067,16,68,50,55,61,66
2449,0067,17,65,59,57,55,64
2450,0067,18,57,64,59,50,70
2451,0067,19,69,66,45,59,61
